achomharc,appeal,achomharctha,achomharc,d'achomharc mé,ar achomharc mé,níor achomharc mé,d'achomharc tú,ar achomharc tú,níor achomharc tú,d'achomharc sé, sí,ar achomharc sé, sí,níor achomharc sé, sí,d'achomharcamar,ar achomharcamar,níor achomharcamar,d'achomharc sibh,ar achomharc sibh,níor achomharc sibh,d'achomharc siad,ar achomharc siad,níor achomharc siad,achomharcadar,ar achomharcadar,níor achomharcadar
deasc,settle,deasctha,deasc,dheasc mé,ar dheasc mé,níor dheasc mé,dheasc tú,ar dheasc tú,níor dheasc tú,dheasc sé, sí,ar dheasc sé, sí,níor dheasc sé, sí,dheascamar,ar dheascamar,níor dheascamar,dheasc sibh,ar dheasc sibh,níor dheasc sibh,dheasc siad,ar dheasc siad,níor dheasc siad,dheascadar,ar dheascadar,níor dheascadar
deimhneasc,aver,deimhneasctha,deimhneasc,dheimhneasc mé,ar dheimhneasc mé,níor dheimhneasc mé,dheimhneasc tú,ar dheimhneasc tú,níor dheimhneasc tú,dheimhneasc sé, sí,ar dheimhneasc sé, sí,níor dheimhneasc sé, sí,dheimhneascamar,ar dheimhneascamar,níor dheimhneascamar,dheimhneasc sibh,ar dheimhneasc sibh,níor dheimhneasc sibh,dheimhneasc siad,ar dheimhneasc siad,níor dheimhneasc siad,dheimhneascadar,ar dheimhneascadar,níor dheimhneascadar
deoch,immerse,deochtha,deoch,dheoch mé,ar dheoch mé,níor dheoch mé,dheoch tú,ar dheoch tú,níor dheoch tú,dheoch sé, sí,ar dheoch sé, sí,níor dheoch sé, sí,dheochamar,ar dheochamar,níor dheochamar,dheoch sibh,ar dheoch sibh,níor dheoch sibh,dheoch siad,ar dheoch siad,níor dheoch siad,dheochadar,ar dheochadar,níor dheochadar
di-adharc,dehom,di-adharctha,di-adharc,dhi-adharc mé,ar dhi-adharc mé,níor dhi-adharc mé,dhi-adharc tú,ar dhi-adharc tú,níor dhi-adharc tú,dhi-adharc sé, sí,ar dhi-adharc sé, sí,níor dhi-adharc sé, sí,dhi-adharcamar,ar dhi-adharcamar,níor dhi-adharcamar,dhi-adharc sibh,ar dhi-adharc sibh,níor dhi-adharc sibh,dhi-adharc siad,ar dhi-adharc siad,níor dhi-adharc siad,dhi-adharcadar,ar dhi-adharcadar,níor dhi-adharcadar
diall,incline,dialltha,diall,dhiall mé,ar dhiall mé,níor dhiall mé,dhiall tú,ar dhiall tú,níor dhiall tú,dhiall sé, sí,ar dhiall sé, sí,níor dhiall sé, sí,dhiallamar,ar dhiallamar,níor dhiallamar,dhiall sibh,ar dhiall sibh,níor dhiall sibh,dhiall siad,ar dhiall siad,níor dhiall siad,dhialladar,ar dhialladar,níor dhialladar
díbhlogh,defragment,díbhloghtha,díbhlogh,dhíbhlogh mé,ar dhíbhlogh mé,níor dhíbhlogh mé,dhíbhlogh tú,ar dhíbhlogh tú,níor dhíbhlogh tú,dhíbhlogh sé, sí,ar dhíbhlogh sé, sí,níor dhíbhlogh sé, sí,dhíbhloghamar,ar dhíbhloghamar,níor dhíbhloghamar,dhíbhlogh sibh,ar dhíbhlogh sibh,níor dhíbhlogh sibh,dhíbhlogh siad,ar dhíbhlogh siad,níor dhíbhlogh siad,dhíbhloghadar,ar dhíbhloghadar,níor dhíbhloghadar
díbholg,deflate,díbholgtha,díbholg,dhíbholg mé,ar dhíbholg mé,níor dhíbholg mé,dhíbholg tú,ar dhíbholg tú,níor dhíbholg tú,dhíbholg sé, sí,ar dhíbholg sé, sí,níor dhíbholg sé, sí,dhíbholgamar,ar dhíbholgamar,níor dhíbholgamar,dhíbholg sibh,ar dhíbholg sibh,níor dhíbholg sibh,dhíbholg siad,ar dhíbholg siad,níor dhíbholg siad,dhíbholgadar,ar dhíbholgadar,níor dhíbholgadar
di-bhurr,deburr,di-bhurrtha,di-bhurr,dhi-bhurr mé,ar dhi-bhurr mé,níor dhi-bhurr mé,dhi-bhurr tú,ar dhi-bhurr tú,níor dhi-bhurr tú,dhi-bhurr sé, sí,ar dhi-bhurr sé, sí,níor dhi-bhurr sé, sí,dhi-bhurramar,ar dhi-bhurramar,níor dhi-bhurramar,dhi-bhurr sibh,ar dhi-bhurr sibh,níor dhi-bhurr sibh,dhi-bhurr siad,ar dhi-bhurr siad,níor dhi-bhurr siad,dhi-bhurradar,ar dhi-bhurradar,níor dhi-bhurradar
dícheann,behead,dícheanntha,dícheann,dhícheann mé,ar dhícheann mé,níor dhícheann mé,dhícheann tú,ar dhícheann tú,níor dhícheann tú,dhícheann sé, sí,ar dhícheann sé, sí,níor dhícheann sé, sí,dhícheannamar,ar dhícheannamar,níor dhícheannamar,dhícheann sibh,ar dhícheann sibh,níor dhícheann sibh,dhícheann siad,ar dhícheann siad,níor dhícheann siad,dhícheannadar,ar dhícheannadar,níor dhícheannadar
díchónasc,disconnect,díchónasctha,díchónasc,dhíchónasc mé,ar dhíchónasc mé,níor dhíchónasc mé,dhíchónasc tú,ar dhíchónasc tú,níor dhíchónasc tú,dhíchónasc sé, sí,ar dhíchónasc sé, sí,níor dhíchónasc sé, sí,dhíchónascamar,ar dhíchónascamar,níor dhíchónascamar,dhíchónasc sibh,ar dhíchónasc sibh,níor dhíchónasc sibh,dhíchónasc siad,ar dhíchónasc siad,níor dhíchónasc siad,dhíchónascadar,ar dhíchónascadar,níor dhíchónascadar
díchom,unwind,díchomtha,díchom,dhíchom mé,ar dhíchom mé,níor dhíchom mé,dhíchom tú,ar dhíchom tú,níor dhíchom tú,dhíchom sé, sí,ar dhíchom sé, sí,níor dhíchom sé, sí,dhíchomamar,ar dhíchomamar,níor dhíchomamar,dhíchom sibh,ar dhíchom sibh,níor dhíchom sibh,dhíchom siad,ar dhíchom siad,níor dhíchom siad,dhíchomadar,ar dhíchomadar,níor dhíchomadar
díchruach,unstack,díchruachtha,díchruach,dhíchruach mé,ar dhíchruach mé,níor dhíchruach mé,dhíchruach tú,ar dhíchruach tú,níor dhíchruach tú,dhíchruach sé, sí,ar dhíchruach sé, sí,níor dhíchruach sé, sí,dhíchruachamar,ar dhíchruachamar,níor dhíchruachamar,dhíchruach sibh,ar dhíchruach sibh,níor dhíchruach sibh,dhíchruach siad,ar dhíchruach siad,níor dhíchruach siad,dhíchruachadar,ar dhíchruachadar,níor dhíchruachadar
díchuach,unbundle,díchuachtha,díchuach,dhíchuach mé,ar dhíchuach mé,níor dhíchuach mé,dhíchuach tú,ar dhíchuach tú,níor dhíchuach tú,dhíchuach sé, sí,ar dhíchuach sé, sí,níor dhíchuach sé, sí,dhíchuachamar,ar dhíchuachamar,níor dhíchuachamar,dhíchuach sibh,ar dhíchuach sibh,níor dhíchuach sibh,dhíchuach siad,ar dhíchuach siad,níor dhíchuach siad,dhíchuachadar,ar dhíchuachadar,níor dhíchuachadar
díchum,deform,díchumtha,díchum,dhíchum mé,ar dhíchum mé,níor dhíchum mé,dhíchum tú,ar dhíchum tú,níor dhíchum tú,dhíchum sé, sí,ar dhíchum sé, sí,níor dhíchum sé, sí,dhíchumamar,ar dhíchumamar,níor dhíchumamar,dhíchum sibh,ar dhíchum sibh,níor dhíchum sibh,dhíchum siad,ar dhíchum siad,níor dhíchum siad,dhíchumadar,ar dhíchumadar,níor dhíchumadar
díghléas,demount,díghléastha,díghléas,dhíghléas mé,ar dhíghléas mé,níor dhíghléas mé,dhíghléas tú,ar dhíghléas tú,níor dhíghléas tú,dhíghléas sé, sí,ar dhíghléas sé, sí,níor dhíghléas sé, sí,dhíghléasamar,ar dhíghléasamar,níor dhíghléasamar,dhíghléas sibh,ar dhíghléas sibh,níor dhíghléas sibh,dhíghléas siad,ar dhíghléas siad,níor dhíghléas siad,dhíghléasadar,ar dhíghléasadar,níor dhíghléasadar
dilasc,disconnect,dilasctha,dilasc,dhilasc mé,ar dhilasc mé,níor dhilasc mé,dhilasc tú,ar dhilasc tú,níor dhilasc tú,dhilasc sé, sí,ar dhilasc sé, sí,níor dhilasc sé, sí,dhilascamar,ar dhilascamar,níor dhilascamar,dhilasc sibh,ar dhilasc sibh,níor dhilasc sibh,dhilasc siad,ar dhilasc siad,níor dhilasc siad,dhilascadar,ar dhilascadar,níor dhilascadar
dimheas,depreciate,dimheastha,dimheas,dhimheas mé,ar dhimheas mé,níor dhimheas mé,dhimheas tú,ar dhimheas tú,níor dhimheas tú,dhimheas sé, sí,ar dhimheas sé, sí,níor dhimheas sé, sí,dhimheasamar,ar dhimheasamar,níor dhimheasamar,dhimheas sibh,ar dhimheas sibh,níor dhimheas sibh,dhimheas siad,ar dhimheas siad,níor dhimheas siad,dhimheasadar,ar dhimheasadar,níor dhimheasadar
dímhol,dispraise,dímholtha,dímhol,dhímhol mé,ar dhímhol mé,níor dhímhol mé,dhímhol tú,ar dhímhol tú,níor dhímhol tú,dhímhol sé, sí,ar dhímhol sé, sí,níor dhímhol sé, sí,dhímholamar,ar dhímholamar,níor dhímholamar,dhímhol sibh,ar dhímhol sibh,níor dhímhol sibh,dhímhol siad,ar dhímhol siad,níor dhímhol siad,dhímholadar,ar dhímholadar,níor dhímholadar
dínasc,unclasp,dínasctha,dínasc,dhínasc mé,ar dhínasc mé,níor dhínasc mé,dhínasc tú,ar dhínasc tú,níor dhínasc tú,dhínasc sé, sí,ar dhínasc sé, sí,níor dhínasc sé, sí,dhínascamar,ar dhínascamar,níor dhínascamar,dhínasc sibh,ar dhínasc sibh,níor dhínasc sibh,dhínasc siad,ar dhínasc siad,níor dhínasc siad,dhínascadar,ar dhínascadar,níor dhínascadar
díobh,extinguish,díobhtha,díobh,dhíobh mé,ar dhíobh mé,níor dhíobh mé,dhíobh tú,ar dhíobh tú,níor dhíobh tú,dhíobh sé, sí,ar dhíobh sé, sí,níor dhíobh sé, sí,dhíobhamar,ar dhíobhamar,níor dhíobhamar,dhíobh sibh,ar dhíobh sibh,níor dhíobh sibh,dhíobh siad,ar dhíobh siad,níor dhíobh siad,dhíobhadar,ar dhíobhadar,níor dhíobhadar
díochlaon,decline,díochlaontha,díochlaon,dhíochlaon mé,ar dhíochlaon mé,níor dhíochlaon mé,dhíochlaon tú,ar dhíochlaon tú,níor dhíochlaon tú,dhíochlaon sé, sí,ar dhíochlaon sé, sí,níor dhíochlaon sé, sí,dhíochlaonamar,ar dhíochlaonamar,níor dhíochlaonamar,dhíochlaon sibh,ar dhíochlaon sibh,níor dhíochlaon sibh,dhíochlaon siad,ar dhíochlaon siad,níor dhíochlaon siad,dhíochlaonadar,ar dhíochlaonadar,níor dhíochlaonadar
díol,sell,díoltha,díol,dhíol mé,ar dhíol mé,níor dhíol mé,dhíol tú,ar dhíol tú,níor dhíol tú,dhíol sé, sí,ar dhíol sé, sí,níor dhíol sé, sí,dhíolamar,ar dhíolamar,níor dhíolamar,dhíol sibh,ar dhíol sibh,níor dhíol sibh,dhíol siad,ar dhíol siad,níor dhíol siad,dhíoladar,ar dhíoladar,níor dhíoladar
dion,protect,diontha,dion,dhion mé,ar dhion mé,níor dhion mé,dhion tú,ar dhion tú,níor dhion tú,dhion sé, sí,ar dhion sé, sí,níor dhion sé, sí,dhionamar,ar dhionamar,níor dhionamar,dhion sibh,ar dhion sibh,níor dhion sibh,dhion siad,ar dhion siad,níor dhion siad,dhionadar,ar dhionadar,níor dhionadar
diosc,dissect,diosctha,diosc,dhiosc mé,ar dhiosc mé,níor dhiosc mé,dhiosc tú,ar dhiosc tú,níor dhiosc tú,dhiosc sé, sí,ar dhiosc sé, sí,níor dhiosc sé, sí,dhioscamar,ar dhioscamar,níor dhioscamar,dhiosc sibh,ar dhiosc sibh,níor dhiosc sibh,dhiosc siad,ar dhiosc siad,níor dhiosc siad,dhioscadar,ar dhioscadar,níor dhioscadar
diosc,creak,diosctha,diosc,dhiosc mé,ar dhiosc mé,níor dhiosc mé,dhiosc tú,ar dhiosc tú,níor dhiosc tú,dhiosc sé, sí,ar dhiosc sé, sí,níor dhiosc sé, sí,dhioscamar,ar dhioscamar,níor dhioscamar,dhiosc sibh,ar dhiosc sibh,níor dhiosc sibh,dhiosc siad,ar dhiosc siad,níor dhiosc siad,dhioscadar,ar dhioscadar,níor dhioscadar
díphéac,disbud,díphéactha,díphéac,dhíphéac mé,ar dhíphéac mé,níor dhíphéac mé,dhíphéac tú,ar dhíphéac tú,níor dhíphéac tú,dhíphéac sé, sí,ar dhíphéac sé, sí,níor dhíphéac sé, sí,dhíphéacamar,ar dhíphéacamar,níor dhíphéacamar,dhíphéac sibh,ar dhíphéac sibh,níor dhíphéac sibh,dhíphéac siad,ar dhíphéac siad,níor dhíphéac siad,dhíphéacadar,ar dhíphéacadar,níor dhíphéacadar
díraon,diffract,díraontha,díraon,dhíraon mé,ar dhíraon mé,níor dhíraon mé,dhíraon tú,ar dhíraon tú,níor dhíraon tú,dhíraon sé, sí,ar dhíraon sé, sí,níor dhíraon sé, sí,dhíraonamar,ar dhíraonamar,níor dhíraonamar,dhíraon sibh,ar dhíraon sibh,níor dhíraon sibh,dhíraon siad,ar dhíraon siad,níor dhíraon siad,dhíraonadar,ar dhíraonadar,níor dhíraonadar
discríobh,write off,discríobhtha,discríobh,dhiscríobh mé,ar dhiscríobh mé,níor dhiscríobh mé,dhiscríobh tú,ar dhiscríobh tú,níor dhiscríobh tú,dhiscríobh sé, sí,ar dhiscríobh sé, sí,níor dhiscríobh sé, sí,dhiscríobhamar,ar dhiscríobhamar,níor dhiscríobhamar,dhiscríobh sibh,ar dhiscríobh sibh,níor dhiscríobh sibh,dhiscríobh siad,ar dhiscríobh siad,níor dhiscríobh siad,dhiscríobhadar,ar dhiscríobhadar,níor dhiscríobhadar
díscrios,undelete,díscriostha,díscrios,dhíscrios mé,ar dhíscrios mé,níor dhíscrios mé,dhíscrios tú,ar dhíscrios tú,níor dhíscrios tú,dhíscrios sé, sí,ar dhíscrios sé, sí,níor dhíscrios sé, sí,dhíscriosamar,ar dhíscriosamar,níor dhíscriosamar,dhíscrios sibh,ar dhíscrios sibh,níor dhíscrios sibh,dhíscrios siad,ar dhíscrios siad,níor dhíscrios siad,dhíscriosadar,ar dhíscriosadar,níor dhíscriosadar
díscrobh,unscramble,díscrobhtha,díscrobh,dhíscrobh mé,ar dhíscrobh mé,níor dhíscrobh mé,dhíscrobh tú,ar dhíscrobh tú,níor dhíscrobh tú,dhíscrobh sé, sí,ar dhíscrobh sé, sí,níor dhíscrobh sé, sí,dhíscrobhamar,ar dhíscrobhamar,níor dhíscrobhamar,dhíscrobh sibh,ar dhíscrobh sibh,níor dhíscrobh sibh,dhíscrobh siad,ar dhíscrobh siad,níor dhíscrobh siad,dhíscrobhadar,ar dhíscrobhadar,níor dhíscrobhadar
díshioc,defrost,díshioctha,díshioc,dhíshioc mé,ar dhíshioc mé,níor dhíshioc mé,dhíshioc tú,ar dhíshioc tú,níor dhíshioc tú,dhíshioc sé, sí,ar dhíshioc sé, sí,níor dhíshioc sé, sí,dhíshiocamar,ar dhíshiocamar,níor dhíshiocamar,dhíshioc sibh,ar dhíshioc sibh,níor dhíshioc sibh,dhíshioc siad,ar dhíshioc siad,níor dhíshioc siad,dhíshiocadar,ar dhíshiocadar,níor dhíshiocadar
díshlóg,demobilize,díshlógtha,díshlóg,dhíshlóg mé,ar dhíshlóg mé,níor dhíshlóg mé,dhíshlóg tú,ar dhíshlóg tú,níor dhíshlóg tú,dhíshlóg sé, sí,ar dhíshlóg sé, sí,níor dhíshlóg sé, sí,dhíshlógamar,ar dhíshlógamar,níor dhíshlógamar,dhíshlóg sibh,ar dhíshlóg sibh,níor dhíshlóg sibh,dhíshlóg siad,ar dhíshlóg siad,níor dhíshlóg siad,dhíshlógadar,ar dhíshlógadar,níor dhíshlógadar
dishrian,decontrol,dishriantha,dishrian,dhishrian mé,ar dhishrian mé,níor dhishrian mé,dhishrian tú,ar dhishrian tú,níor dhishrian tú,dhishrian sé, sí,ar dhishrian sé, sí,níor dhishrian sé, sí,dhishrianamar,ar dhishrianamar,níor dhishrianamar,dhishrian sibh,ar dhishrian sibh,níor dhishrian sibh,dhishrian siad,ar dhishrian siad,níor dhishrian siad,dhishrianadar,ar dhishrianadar,níor dhishrianadar
díspeag,belittle,díspeagtha,díspeag,dhíspeag mé,ar dhíspeag mé,níor dhíspeag mé,dhíspeag tú,ar dhíspeag tú,níor dhíspeag tú,dhíspeag sé, sí,ar dhíspeag sé, sí,níor dhíspeag sé, sí,dhíspeagamar,ar dhíspeagamar,níor dhíspeagamar,dhíspeag sibh,ar dhíspeag sibh,níor dhíspeag sibh,dhíspeag siad,ar dhíspeag siad,níor dhíspeag siad,dhíspeagadar,ar dhíspeagadar,níor dhíspeagadar
díspreag,deter,díspreagtha,díspreag,dhíspreag mé,ar dhíspreag mé,níor dhíspreag mé,dhíspreag tú,ar dhíspreag tú,níor dhíspreag tú,dhíspreag sé, sí,ar dhíspreag sé, sí,níor dhíspreag sé, sí,dhíspreagamar,ar dhíspreagamar,níor dhíspreagamar,dhíspreag sibh,ar dhíspreag sibh,níor dhíspreag sibh,dhíspreag siad,ar dhíspreag siad,níor dhíspreag siad,dhíspreagadar,ar dhíspreagadar,níor dhíspreagadar
diúg,drain,diúgtha,diúg,dhiúg mé,ar dhiúg mé,níor dhiúg mé,dhiúg tú,ar dhiúg tú,níor dhiúg tú,dhiúg sé, sí,ar dhiúg sé, sí,níor dhiúg sé, sí,dhiúgamar,ar dhiúgamar,níor dhiúgamar,dhiúg sibh,ar dhiúg sibh,níor dhiúg sibh,dhiúg siad,ar dhiúg siad,níor dhiúg siad,dhiúgadar,ar dhiúgadar,níor dhiúgadar
diúl,suck,diúltha,diúl,dhiúl mé,ar dhiúl mé,níor dhiúl mé,dhiúl tú,ar dhiúl tú,níor dhiúl tú,dhiúl sé, sí,ar dhiúl sé, sí,níor dhiúl sé, sí,dhiúlamar,ar dhiúlamar,níor dhiúlamar,dhiúl sibh,ar dhiúl sibh,níor dhiúl sibh,dhiúl siad,ar dhiúl siad,níor dhiúl siad,dhiúladar,ar dhiúladar,níor dhiúladar
docht,tighten,dochttha,docht,dhocht mé,ar dhocht mé,níor dhocht mé,dhocht tú,ar dhocht tú,níor dhocht tú,dhocht sé, sí,ar dhocht sé, sí,níor dhocht sé, sí,dhochtamar,ar dhochtamar,níor dhochtamar,dhocht sibh,ar dhocht sibh,níor dhocht sibh,dhocht siad,ar dhocht siad,níor dhocht siad,dhochtadar,ar dhochtadar,níor dhochtadar
dol,loop,doltha,dol,dhol mé,ar dhol mé,níor dhol mé,dhol tú,ar dhol tú,níor dhol tú,dhol sé, sí,ar dhol sé, sí,níor dhol sé, sí,dholamar,ar dholamar,níor dholamar,dhol sibh,ar dhol sibh,níor dhol sibh,dhol siad,ar dhol siad,níor dhol siad,dholadar,ar dholadar,níor dholadar
dord,hum,dordtha,dord,dhord mé,ar dhord mé,níor dhord mé,dhord tú,ar dhord tú,níor dhord tú,dhord sé, sí,ar dhord sé, sí,níor dhord sé, sí,dhordamar,ar dhordamar,níor dhordamar,dhord sibh,ar dhord sibh,níor dhord sibh,dhord siad,ar dhord siad,níor dhord siad,dhordadar,ar dhordadar,níor dhordadar
drann,snarl,dranntha,drann,dhrann mé,ar dhrann mé,níor dhrann mé,dhrann tú,ar dhrann tú,níor dhrann tú,dhrann sé, sí,ar dhrann sé, sí,níor dhrann sé, sí,dhrannamar,ar dhrannamar,níor dhrannamar,dhrann sibh,ar dhrann sibh,níor dhrann sibh,dhrann siad,ar dhrann siad,níor dhrann siad,dhrannadar,ar dhrannadar,níor dhrannadar
dreach,delineate,dreachtha,dreach,dhreach mé,ar dhreach mé,níor dhreach mé,dhreach tú,ar dhreach tú,níor dhreach tú,dhreach sé, sí,ar dhreach sé, sí,níor dhreach sé, sí,dhreachamar,ar dhreachamar,níor dhreachamar,dhreach sibh,ar dhreach sibh,níor dhreach sibh,dhreach siad,ar dhreach siad,níor dhreach siad,dhreachadar,ar dhreachadar,níor dhreachadar
dreap,climb,dreaptha,dreap,dhreap mé,ar dhreap mé,níor dhreap mé,dhreap tú,ar dhreap tú,níor dhreap tú,dhreap sé, sí,ar dhreap sé, sí,níor dhreap sé, sí,dhreapamar,ar dhreapamar,níor dhreapamar,dhreap sibh,ar dhreap sibh,níor dhreap sibh,dhreap siad,ar dhreap siad,níor dhreap siad,dhreapadar,ar dhreapadar,níor dhreapadar
driog,distill,driogtha,driog,dhriog mé,ar dhriog mé,níor dhriog mé,dhriog tú,ar dhriog tú,níor dhriog tú,dhriog sé, sí,ar dhriog sé, sí,níor dhriog sé, sí,dhriogamar,ar dhriogamar,níor dhriogamar,dhriog sibh,ar dhriog sibh,níor dhriog sibh,dhriog siad,ar dhriog siad,níor dhriog siad,dhriogadar,ar dhriogadar,níor dhriogadar
droimscríobh,endorse,droimscríobhtha,droimscríobh,dhroimscríobh mé,ar dhroimscríobh mé,níor dhroimscríobh mé,dhroimscríobh tú,ar dhroimscríobh tú,níor dhroimscríobh tú,dhroimscríobh sé, sí,ar dhroimscríobh sé, sí,níor dhroimscríobh sé, sí,dhroimscríobhamar,ar dhroimscríobhamar,níor dhroimscríobhamar,dhroimscríobh sibh,ar dhroimscríobh sibh,níor dhroimscríobh sibh,dhroimscríobh siad,ar dhroimscríobh siad,níor dhroimscríobh siad,dhroimscríobhadar,ar dhroimscríobhadar,níor dhroimscríobhadar
dual,twine,dualtha,dual,dhual mé,ar dhual mé,níor dhual mé,dhual tú,ar dhual tú,níor dhual tú,dhual sé, sí,ar dhual sé, sí,níor dhual sé, sí,dhualamar,ar dhualamar,níor dhualamar,dhual sibh,ar dhual sibh,níor dhual sibh,dhual siad,ar dhual siad,níor dhual siad,dhualadar,ar dhualadar,níor dhualadar
dúghabh,obsess,dúghabhtha,dúghabh,dhúghabh mé,ar dhúghabh mé,níor dhúghabh mé,dhúghabh tú,ar dhúghabh tú,níor dhúghabh tú,dhúghabh sé, sí,ar dhúghabh sé, sí,níor dhúghabh sé, sí,dhúghabhamar,ar dhúghabhamar,níor dhúghabhamar,dhúghabh sibh,ar dhúghabh sibh,níor dhúghabh sibh,dhúghabh siad,ar dhúghabh siad,níor dhúghabh siad,dhúghabhadar,ar dhúghabhadar,níor dhúghabhadar
dúmhál,blackmail,dúmháltha,dúmhál,dhúmhál mé,ar dhúmhál mé,níor dhúmhál mé,dhúmhál tú,ar dhúmhál tú,níor dhúmhál tú,dhúmhál sé, sí,ar dhúmhál sé, sí,níor dhúmhál sé, sí,dhúmhálamar,ar dhúmhálamar,níor dhúmhálamar,dhúmhál sibh,ar dhúmhál sibh,níor dhúmhál sibh,dhúmhál siad,ar dhúmhál siad,níor dhúmhál siad,dhúmháladar,ar dhúmháladar,níor dhúmháladar
dún,close,dúntha,dún,dhún mé,ar dhún mé,níor dhún mé,dhún tú,ar dhún tú,níor dhún tú,dhún sé, sí,ar dhún sé, sí,níor dhún sé, sí,dhúnamar,ar dhúnamar,níor dhúnamar,dhún sibh,ar dhún sibh,níor dhún sibh,dhún siad,ar dhún siad,níor dhún siad,dhúnadar,ar dhúnadar,níor dhúnadar
dúthum,plunge,dúthumtha,dúthum,dhúthum mé,ar dhúthum mé,níor dhúthum mé,dhúthum tú,ar dhúthum tú,níor dhúthum tú,dhúthum sé, sí,ar dhúthum sé, sí,níor dhúthum sé, sí,dhúthumamar,ar dhúthumamar,níor dhúthumamar,dhúthum sibh,ar dhúthum sibh,níor dhúthum sibh,dhúthum siad,ar dhúthum siad,níor dhúthum siad,dhúthumadar,ar dhúthumadar,níor dhúthumadar
éag,die,éagtha,éag,d'éag mé,ar éag mé,níor éag mé,d'éag tú,ar éag tú,níor éag tú,d'éag sé, sí,ar éag sé, sí,níor éag sé, sí,d'éagamar,ar éagamar,níor éagamar,d'éag sibh,ar éag sibh,níor éag sibh,d'éag siad,ar éag siad,níor éag siad,éagadar,ar éagadar,níor éagadar
